REG_ANS;CNPJ;RazaoSocial;Ano;Trimestre;ValorDespesas
347507;;;2025;3;256.2
347507;;;2025;3;7228973.85
347507;;;2025;3;10472133.92
347507;;;2025;3;13290129.96
347507;;;2025;3;2069.41
347507;;;2025;3;40556.64
347507;;;2025;3;11847.0
347507;;;2025;3;622555.32
347507;;;2025;3;1062373.11
347507;;;2025;3;94573.45
347507;;;2025;3;798936.35
347507;;;2025;3;360961.53
347507;;;2025;3;111338.38
348082;;;2025;3;535284.25
348082;;;2025;3;468434.2
348082;;;2025;3;14726931.65
348082;;;2025;3;12779516.93
348082;;;2025;3;23020425.13
348082;;;2025;3;10339028.96
348082;;;2025;3;124190.33
348082;;;2025;3;60106775.85
348082;;;2025;3;867299.05
348082;;;2025;3;25590725.89
348082;;;2025;3;626931.83
348082;;;2025;3;4168328.2
348082;;;2025;3;677380.97
348082;;;2025;3;21146.84
348082;;;2025;3;5417908.37
348082;;;2025;3;15428.2
348082;;;2025;3;82554.88
348082;;;2025;3;2235.95
348082;;;2025;3;181506.45
348244;;;2025;3;65.4
348244;;;2025;3;2200.61
348244;;;2025;3;3065.41
348244;;;2025;3;234.16
348244;;;2025;3;8247.35
348244;;;2025;3;13208.86
348244;;;2025;3;384703.22
348244;;;2025;3;319731.08
348244;;;2025;3;78725.8
348244;;;2025;3;626785.42
348244;;;2025;3;2059.39
348244;;;2025;3;258460.77
348244;;;2025;3;260240.02
348244;;;2025;3;8033961.43
348244;;;2025;3;3964174.87
348244;;;2025;3;1582084.4
348244;;;2025;3;7514434.14
348244;;;2025;3;2748869.8
348244;;;2025;3;387458.47
348244;;;2025;3;4474381.64
348244;;;2025;3;4305844.66
348244;;;2025;3;1245761.23
348244;;;2025;3;9568467.48
348244;;;2025;3;79706.2
348244;;;2025;3;1841371.42
348244;;;2025;3;1475419.88
348244;;;2025;3;423446.04
348244;;;2025;3;2747354.76
348244;;;2025;3;13954.19
348244;;;2025;3;13828.03
348244;;;2025;3;101361.14
348244;;;2025;3;47951.17
348244;;;2025;3;268992.5
348244;;;2025;3;28400.82
348244;;;2025;3;7736.89
348244;;;2025;3;22184.7
348244;;;2025;3;114542.05
325571;;;2025;3;1418062.37
325571;;;2025;3;112991.08
325571;;;2025;3;12440311.37
325571;;;2025;3;82439775.53
325571;;;2025;3;2988.29
325571;;;2025;3;61022307.54
325571;;;2025;3;516714.03
325571;;;2025;3;154915782.45
325571;;;2025;3;6852344.63
325571;;;2025;3;31542376.47
325571;;;2025;3;996167.03
325571;;;2025;3;7404842.11
325571;;;2025;3;5494707.78
325571;;;2025;3;32676.16
325571;;;2025;3;20927575.07
325571;;;2025;3;3716308.24
325571;;;2025;3;28581286.67
325571;;;2025;3;20408558.48
325571;;;2025;3;181673.43
325571;;;2025;3;63481155.25
325571;;;2025;3;1383112.06
325571;;;2025;3;5254585.28
327352;;;2025;3;2156896.59
327352;;;2025;3;32125.26
327352;;;2025;3;3910238.76
327352;;;2025;3;126.53
335479;;;2025;3;4463482.54
335479;;;2025;3;34002552.37
335479;;;2025;3;5621.28
335479;;;2025;3;15002.73
335479;;;2025;3;1300.0
335479;;;2025;3;7802.3
335479;;;2025;3;8121.54
335479;;;2025;3;14363489.4
335479;;;2025;3;33333172.4
335479;;;2025;3;2001190.6
335479;;;2025;3;11317684.42
335479;;;2025;3;591099.06
335479;;;2025;3;39626445.61
335479;;;2025;3;19156690.15
335479;;;2025;3;10835014.63
335479;;;2025;3;21514086.91
