REG_ANS;Ano;Trimestre
345741;2025;3
345741;2025;3
345741;2025;3
345741;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
350141;2025;3
321338;2025;3
419354;2025;3
419354;2025;3
419354;2025;2
419354;2025;2
345741;2025;2
345741;2025;2
345741;2025;2
345741;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
350141;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
349534;2025;2
321338;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
351792;2025;2
350141;2025;2
321338;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
000477;2025;1
419354;2025;1
419354;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
351792;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
350141;2025;1
345741;2025;1
345741;2025;1
345741;2025;1
345741;2025;1
346870;2025;1
346870;2025;1
346870;2025;1
346870;2025;1
346870;2025;1
346870;2025;1
346870;2025;1
346870;2025;1
346870;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
349534;2025;1
